query_id,query,category,rewritten_query,keyword_query,num_results,total_time,keyword_coverage,avg_score,score_std,title_relevance,abstract_relevance,success,error
1,What are the latest advances in transformer architecture for natural language processing?,technical,Advances in transformer architecture for natural language processing.,transformer architecture natural language processing,20,1.7871177196502686,1.0,0.5957921929144548,0.1404611401245265,0.45,0.65,True,
2,How do large language models handle few-shot learning and in-context learning?,technical,How large language models handle few-shot learning and in-context learning?,large language models few-shot learning in-context learning,20,1.7896220684051514,1.0,1.3018859523052861,0.37010164938987156,0.9,1.0,True,
3,What are the main challenges in training large-scale neural networks?,technical,Main challenges in training large-scale neural networks.,challenges training large-scale neural networks,20,1.6987464427947998,1.0,1.0764141659757969,0.23968711276924562,0.45,0.85,True,
4,How does reinforcement learning from human feedback (RLHF) work in language models?,technical,How reinforcement learning from human feedback (RLHF) works in language models?,reinforcement learning human feedback RLHF language models,20,2.716200828552246,1.0,1.4243359094411148,0.31295661606372593,0.75,0.95,True,
5,What are the current approaches to reducing hallucination in large language models?,technical,Approaches to reducing hallucination in large language models.,approaches reducing hallucination large language models,20,1.551438570022583,1.0,0.6969566488066246,0.08478259142938985,1.0,0.95,True,
6,How do vision-language models process and understand multimodal inputs?,technical,How vision-language models process and understand multimodal inputs?,vision-language models multimodal inputs processing understanding,20,1.9300615787506104,0.75,1.4639448366135883,0.30483748686027073,0.85,0.95,True,
7,What are the key techniques for efficient inference in large language models?,technical,Key techniques for efficient inference in large language models.,key techniques efficient inference large language models,20,1.8149917125701904,1.0,1.1304367609612438,0.2625628206208392,0.15,0.55,True,
8,How do retrieval-augmented generation (RAG) systems improve language model performance?,technical,How do retrieval-augmented generation (RAG) systems improve language model performance?,retrieval-augmented generation RAG systems language model performance,20,1.9046876430511475,1.0,1.3892514071448718,0.2544842465532991,0.95,1.0,True,
9,What are the main evaluation metrics for assessing language model quality?,evaluation,Main evaluation metrics for assessing language model quality.,evaluation metrics language model quality,20,1.9768924713134766,0.8,1.0758844905520302,0.1933538712500352,0.4,0.75,True,
10,How do contrastive learning methods improve representation learning in NLP?,technical,How contrastive learning methods improve representation learning in NLP?,contrastive learning representation learning NLP,20,2.151132106781006,1.0,1.2824663482611756,0.35155158738199815,0.55,0.7,True,
